condition,experiment,conditionName,useFilter,luminanceAtEye,eccentricityXYDeg_1,eccentricityXYDeg_2,targetDurationSec,targetCyclesPerDeg,targetHeightDeg,targetGaborCycles,noiseSD,N,noiseType,E,contrast
0,,,0,0,0,0,0,0,0,0,0,0,,0,0
0,,,0,0,0,0,0,0,0,0,0,0,,0,0
0,,,0,0,0,0,0,0,0,0,0,0,,0,0
0,,,0,0,0,0,0,0,0,0,0,0,,0,0
0,,,0,0,0,0,0,0,0,0,0,0,,0,0
0,,,0,0,0,0,0,0,0,0,0,0,,0,0
0,,,0,0,0,0,0,0,0,0,0,0,,0,0
0,,,0,0,0,0,0,0,0,0,0,0,,0,0
0,,,0,0,0,0,0,0,0,0,0,0,,0,0
0,,,0,0,0,0,0,0,0,0,0,0,,0,0
0,,,0,0,0,0,0,0,0,0,0,0,,0,0
0,,,0,0,0,0,0,0,0,0,0,0,,0,0
0,,,0,0,0,0,0,0,0,0,0,0,,0,0
14,EvsN,cortical,0,249.050948,0,0,0.398613814779663,0.5,5.878125,3,0,0,binary,0.00108953572566041,0.0253467714505327
15,EvsN,cortical,0,249.050948,0,0,0.398777987796628,0.5,5.878125,3,0.64,0.000587891968366877,binary,0.0854714596256263,0.224497997526016
16,EvsN,cortical,0,249.050948,0,0,0.398929073898309,0.5,5.878125,3,0.08,9.18929225933017e-06,binary,0.00659368176743605,0.0623542274268029
17,EvsN,cortical,0,249.050948,0,0,0.399715802847468,0.5,5.878125,3,0.0282842712474619,1.15092681048063e-06,binary,0.00188355888469749,0.0333266386168759
18,EvsN,ganglion,0,249.050948,30,0,0.199429317399995,0.5,5.878125,3,0.64,0.00058801086090107,binary,0.0839795400196197,0.222530045644039
19,EvsN,ganglion,0,249.050948,30,0,0.202768878305089,0.5,5.878125,3,0.226274169979695,7.47321809617514e-05,binary,0.040310922794187,0.154174760084952
20,EvsN,ganglion,0,249.050948,30,0,0.199330686508493,0.5,5.878125,3,0,0,binary,0.00149775857668106,0.0297182217398759
21,EvsN,ganglion,0,249.050948,30,0,0.199419476949145,0.5,5.878125,3,0.01,1.43550255530165e-07,binary,0.00209227547375485,0.0351245964519862
22,EvsN,ganglion,0,249.050948,30,0,0.199177597830539,0.5,5.878125,3,0.08,9.17607303017836e-06,binary,0.00576671147730741,0.0583130856477935
23,EvsN,ganglion,0,249.050948,30,0,0.199949582237269,0.5,5.878125,3,0.0282842712474619,1.15145477512727e-06,binary,0.00295611707452749,0.0417506004870239
