condition,experiment,conditionName,useFilter,luminanceAtEye,eccentricityXYDeg_1,eccentricityXYDeg_2,targetDurationSec,targetCyclesPerDeg,targetHeightDeg,targetGaborCycles,noiseSD,N,noiseType,E,contrast
1,EvsN,photon,1,2.5,0,0,0.0996975392999957,4,0.755758928571429,3,0.0282842712474619,2.3433908996812e-08,gaussian,0.00170947147160176,0.246938046338647
2,EvsN,photon,1,2.5,0,0,0.0996975392999957,4,0.755758928571429,3,0.08,1.87471271974496e-07,gaussian,0.00131863689344479,0.216880092784245
3,EvsN,photon,1,2.5,0,0,0.0996975392999957,4,0.755758928571429,3,0,0,gaussian,0.00162919642632246,0.241070352833359
4,EvsN,photon,1,2.5,0,0,0.0996975392999957,4,0.755758928571429,3,0.01,2.9292386246015e-09,gaussian,0.00214919107914769,0.276881917383993
5,EvsN,photon,1,2.5,0,0,0.0996975392999957,4,0.755758928571429,3,0.226274169979695,1.49977017579597e-06,gaussian,0.00310817531051634,0.332973623551391
6,EvsN,photon,1,2.5,0,0,0.0996975392999957,4,0.755758928571429,3,0.01,2.9292386246015e-09,binary,0.00155895838298422,0.235816581835593
7,EvsN,photon,1,2.5,0,0,0.0996975392999957,4,0.755758928571429,3,0.0282842712474619,2.3433908996812e-08,binary,0.00336205734692646,0.346305698215428
8,EvsN,photon,1,2.5,0,0,0.0996975392999957,4,0.755758928571429,3,0,0,binary,0.00718399112043781,0.506220784544628
9,EvsN,photon,1,2.5,0,0,0.0996975392999957,4,0.755758928571429,3,0.226274169979695,1.49977017579597e-06,binary,0.00266617836929362,0.308390988806959
10,EvsN,photon,1,2.5,0,0,0.0996975392999957,4,0.755758928571429,3,0.08,1.87471271974496e-07,binary,0.00444079034289208,0.398003795871108
11,EvsN,photon,1,2.5,0,0,0.0996975392999957,4,0.755758928571429,3,0.64,1.19981614063678e-05,binary,0.00666747720205158,0.487683260428459
12,EvsN,cortical,0,262.6503295,0,0,0.398790157199983,0.5,5.878125,3,0.0282842712474619,1.14826154084379e-06,binary,0.000520087398008032,0.0175121745195605
13,EvsN,cortical,0,262.6503295,0,0,0.398790157199983,0.5,5.878125,3,0.01,1.43532692605474e-07,binary,0.000270581113468078,0.0126313756510274
14,EvsN,cortical,0,262.6503295,0,0,0.398790157199983,0.5,5.878125,3,0.08,9.18609232675031e-06,binary,0.00209013419592745,0.0351066182331448
15,EvsN,cortical,0,262.6503295,0,0,0.398790157199983,0.5,5.878125,3,0.226274169979695,7.34887386140025e-05,binary,0.0142957054615408,0.0918131118002681
16,EvsN,cortical,0,262.6503295,0,0,0.398790157199983,0.5,5.878125,3,0.64,0.00058790990891202,binary,0.0722990595543632,0.206475361573543
17,EvsN,cortical,0,262.6503295,0,0,0.398790157199983,0.5,5.878125,3,0,0,binary,0.000347331833869615,0.0143111391975228
18,EvsN,ganglion,0,262.6503295,30,0,0.199395078599991,0.5,5.878125,3,0.226274169979695,7.34887386140025e-05,binary,0.0296662720801547,0.132261486347407
19,EvsN,ganglion,0,262.6503295,30,0,0.199395078599991,0.5,5.878125,3,0.64,0.00058790990891202,binary,0.191848593516862,0.336342091960679
20,EvsN,ganglion,0,262.6503295,30,0,0.199395078599991,0.5,5.878125,3,0.0282842712474619,1.14826154084379e-06,binary,0.00349968448150366,0.0454272405963596
21,EvsN,ganglion,0,262.6503295,30,0,0.199395078599991,0.5,5.878125,3,0.01,1.43532692605474e-07,binary,0.0026894111989038,0.0398226829115316
22,EvsN,ganglion,0,262.6503295,30,0,0.199395078599991,0.5,5.878125,3,0,0,binary,0.00213945262751164,0.0355183881165203
23,EvsN,ganglion,0,262.6503295,30,0,0.199395078599991,0.5,5.878125,3,0.08,9.18609232675031e-06,binary,0.00571299915979101,0.0580408803819143
