condition,experiment,conditionName,useFilter,luminanceAtEye,eccentricityXYDeg_1,eccentricityXYDeg_2,targetDurationSec,targetCyclesPerDeg,targetHeightDeg,targetGaborCycles,noiseSD,N,noiseType,E,contrast
1,EvsN,photon,1,2.5,0,0,0.0996682075931596,4,0.755758928571429,3,0.0282842712474619,2.34270145784187e-08,gaussian,0.000366977004406782,0.114413298078225
2,EvsN,photon,1,2.5,0,0,0.0996682075931596,4,0.755758928571429,3,0,0,gaussian,0.000497478929365903,0.133212330023637
3,EvsN,photon,1,2.5,0,0,0.0996682075931596,4,0.755758928571429,3,0.08,1.8741611662735e-07,gaussian,0.000982832836009865,0.18723925650557
4,EvsN,photon,1,2.5,0,0,0.0996682075931596,4,0.755758928571429,3,0.226274169979695,1.4993289330188e-06,gaussian,0.00157820476291501,0.237267773005007
5,EvsN,photon,1,2.5,0,0,0.0996682075931596,4,0.755758928571429,3,0.01,2.92837682230234e-09,gaussian,0.000489454439406811,0.132133584040159
6,EvsN,photon,1,2.5,0,0,0.0996682075931596,4,0.755758928571429,3,0.01,2.92837682230234e-09,binary,0.000704609076508709,0.158537204430278
7,EvsN,photon,1,2.5,0,0,0.0996682075931596,4,0.755758928571429,3,0.08,1.8741611662735e-07,binary,0.000593674055078995,0.145522823986986
8,EvsN,photon,1,2.5,0,0,0.0996682075931596,4,0.755758928571429,3,0,0,binary,0.000794943377606446,0.16839344312261
9,EvsN,photon,1,2.5,0,0,0.0996682075931596,4,0.755758928571429,3,0.226274169979695,1.4993289330188e-06,binary,0.000669580427373201,0.154546243841661
10,EvsN,photon,1,2.5,0,0,0.0996682075931596,4,0.755758928571429,3,0.64,1.19946314641504e-05,binary,0.00252682411943269,0.300223432498951
11,EvsN,photon,1,2.5,0,0,0.0996682075931596,4,0.755758928571429,3,0.0282842712474619,2.34270145784187e-08,binary,0.000644290032176755,0.151599505731355
12,EvsN,cortical,0,282.306439,0,0,0.398672830372638,0.5,5.878125,3,0.64,0.000587736941743369,binary,0.0685986468693483,0.201122049435407
13,EvsN,cortical,0,282.306439,0,0,0.398672830372638,0.5,5.878125,3,0.08,9.18338971474013e-06,binary,0.00313770420413027,0.0430138098640942
14,EvsN,cortical,0,282.306439,0,0,0.398672830372638,0.5,5.878125,3,0.01,1.43490464292815e-07,binary,0.000791158101630891,0.0215989953563509
15,EvsN,cortical,0,282.306439,0,0,0.398672830372638,0.5,5.878125,3,0.0282842712474619,1.14792371434252e-06,binary,0.00143208774517666,0.02905940551325
16,EvsN,cortical,0,282.306439,0,0,0.398672830372638,0.5,5.878125,3,0,0,binary,0.000741617925517597,0.0209118290746654
17,EvsN,cortical,0,282.306439,0,0,0.398672830372638,0.5,5.878125,3,0.226274169979695,7.34671177179211e-05,binary,0.0129377185878966,0.087343534313213
18,EvsN,ganglion,0,282.306439,30,0,0.199336415186319,0.5,5.878125,3,0.226274169979695,7.34671177179211e-05,binary,0.0448138025286819,0.162557798590997
19,EvsN,ganglion,0,282.306439,30,0,0.199336415186319,0.5,5.878125,3,0.0282842712474619,1.14792371434252e-06,binary,0.00442293919305801,0.0510690049051578
20,EvsN,ganglion,0,282.306439,30,0,0.199336415186319,0.5,5.878125,3,0,0,binary,0.00423404777120898,0.0499665987803267
21,EvsN,ganglion,0,282.306439,30,0,0.199336415186319,0.5,5.878125,3,0.01,1.43490464292815e-07,binary,0.00350340776988965,0.0454513990248938
22,EvsN,ganglion,0,282.306439,30,0,0.199336415186319,0.5,5.878125,3,0.64,0.000587736941743369,binary,0.260071860732663,0.391605329546293
23,EvsN,ganglion,0,282.306439,30,0,0.199336415186319,0.5,5.878125,3,0.08,9.18338971474013e-06,binary,0.00979680093819219,0.0760053307181946
