S.No.,LetterSize,NoiseContrast,NoiseDecayRadius,Eccentricity,Trials,% User Accuracy,Sec/Trial,ThresholdContrast,ThresholdContrastSD,Contrast,Log E/N,Efficiency
60,2,0,0.5,0.45,100,74,1.494,0.1764024053,0.001247342975,0.01846,inf,NaN
61,2,0,0.5,2.45,100,70,1.502,0.1781752789,0.001259878981,0.01861,inf,NaN
57,2,0,0.5,8.45,100,84,1.371,0.1864578506,0.007908364268,0.02229,inf,NaN
48,2,0,0.5,32.45,100,61,1.466,0.3214261391,0.002272807086,0.07283,inf,NaN
64,2,0,2,0.45,100,74,1.357,0.17728441,0,0.0187,inf,NaN
43,2,0,2,2.45,100,75,1.476,0.17728441,0,0.01875,inf,NaN
51,2,0,2,8.45,100,84,1.403,0.1926647962,0.02175115075,0.02689,inf,NaN
56,2,0,2,32.45,100,65,1.437,0.3314137696,0.01639744959,0.07309,inf,NaN
52,2,0,8,0.45,100,71,1.446,0.17728441,0,0.01862,inf,NaN
59,2,0,8,2.45,100,59,1.663,0.1612163042,0.02272373306,0.01175,inf,NaN
62,2,0,8,8.45,100,76,1.478,0.186606992,0.01318412201,0.01876,inf,NaN
63,2,0,8,32.45,100,68,1.649,0.3454563488,0.03171104135,0.07395,inf,NaN
50,2,0,Inf,0.45,100,69,1.468,0.1604941799,0.02374497112,0.01136,inf,NaN
54,2,0,Inf,2.45,100,75,1.411,0.17728441,0,0.01872,inf,NaN
44,2,0,Inf,8.45,100,76,1.483,0.2101465781,0.002971822348,0.02818,inf,NaN
47,2,0,Inf,32.45,100,81,1.432,0.3468889703,0.02450833411,0.07772,inf,NaN
22,2,0.1,0.5,0.45,100,79,1.492,0.1772932743,0.002507221956,0.01815,0.26,NaN
15,2,0.1,0.5,2.45,100,73,1.449,0.1863832948,0.002635769975,0.02135,0.4,NaN
29,2,0.1,0.5,8.45,100,74,1.451,0.2220200691,0.001569905881,0.031,0.72,NaN
28,2,0.1,0.5,32.45,100,65,1.575,0.3552663446,0.007535772068,0.08973,1.64,NaN
26,2,0.1,2,0.45,100,75,1.459,0.4045873969,0.008581951122,0.1289,1.96,NaN
3,2,0.1,2,2.45,100,73,1.516,0.3965363757,0.002803912237,0.1197,1.89,NaN
31,2,0.1,2,8.45,100,67,1.438,0.425416099,0.01503759772,0.14694,2.07,NaN
11,2,0.1,2,32.45,100,73,1.386,0.4682511318,0.03308279066,0.19587,2.32,NaN
20,2,0.1,8,0.45,100,69,1.558,0.4515868797,0.00319317484,0.15757,2.13,NaN
23,2,0.1,8,2.45,100,78,1.523,0.4404536763,0.006228748002,0.1565,2.13,NaN
18,2,0.1,8,8.45,100,59,1.789,0.4860752451,0.05828989342,0.15388,2.11,NaN
