"","letter_size","noise_contrast","noise_decay_radius","eccentricity","HardOrSoft","TargetCross","mean_threshold","sd_threshold","squared_noise_contrast","mean_squared_threshod","sd_squared_threshold","Energy","Energy_at_unit_contrast","Noise_power_spectral_density","Neq","sd_Neq","mean_Efficiency","sd_Efficiency","RadiusRelative2letter_size"
"2",2.03775,0,1,32,"soft",1,0.344296608252136,0.00428134212281976,0,0.118549319399111,0.0029481031433077,0.0167757268460056,2.274606173125,0,0,0,0,0,0.981474665685192
"4",2.03775,0,32,32,"soft",0,0.30941480394632,0.00104926397311039,0,0.0957380713785826,0.000649315613055778,0.0102513710415438,2.274606173125,0,0,0,0,0,31.4071893019261
"6",2.03775,0.16,1,32,"soft",0,0.435019529177193,0.000425587119588019,0.0256,0.189242081327745,0.000370277416774123,0.0492242638794581,2.274606173125,0.001063020816,0.000279619921694962,1.59114113180709e-06,0.118120988072675,0.000672152261229661,0.981474665685192
"7",2.03775,0.16,1,32,"soft",1,0.430495627615855,0.00817075102478832,0.0256,0.185359865982524,0.00703494518101828,0.0469806369882193,2.274606173125,0.001063020816,0.000595892390163608,8.09136196482511e-05,0.153825171327704,0.0208872467757469,0.981474665685192
"9",2.03775,0.16,1.73205080756888,32,"soft",0,0.549027187062138,0.0339406060609584,0.0256,0.302006834503256,0.0372686309456643,0.146059862302491,2.274606173125,0.001063020816,8.40829732698713e-05,2.54179981589837e-05,0.0705611514053234,0.0213303971870717,1.69996398730843
"11",2.03775,0.16,3,32,"soft",0,0.671303492968686,0.000854063015831497,0.0256,0.450648744383776,0.00114667097148609,0.362945354133889,2.274606173125,0.001063020816,3.08982273619137e-05,1.86290659875237e-07,0.0339677787948774,0.000204797506733145,2.94442399705558
"13",2.03775,0.16,5.19615242270663,32,"soft",0,0.638649572278995,0.0351248292591394,0.0256,0.408490152987385,0.0448649143654442,0.292098211675708,2.274606173125,0.001063020816,4.00152657769307e-05,1.03978683908841e-05,0.051283381550307,0.0133258605596218,5.09989196192529
"15",2.03775,0.16,9,32,"soft",0,0.678618235883228,0.00854415295593204,0.0256,0.460559211348132,0.0115964360121421,0.381767335364678,2.274606173125,0.001063020816,2.93844091071223e-05,1.7498291187059e-06,0.0364467348885138,0.0021703876282548,8.83327199116673
"19",2.03775,0.16,32,32,"soft",0,0.655724602280555,0.0317631803056159,0.0256,0.430479203847556,0.0416557975461311,0.328918494212865,2.274606173125,0.001063020816,3.51131196241882e-05,8.021482828072e-06,0.0460608673599906,0.0105224617045917,31.4071893019261
"20",2.03775,0.16,32,32,"soft",1,0.67869043143531,0.00745541286224992,0.0256,0.460648493312321,0.0101198347440175,0.3818944389622,2.274606173125,0.001063020816,4.89099141220728e-05,2.58687442570376e-06,0.0392066921629292,0.00207366524953578,31.4071893019261
