targetSize,noiseContrast,noiseDecayRadius,eccentricity,hardOrSoft,targetCross,noiseSpectrum,noiseCheckDeg,targetKind,meanThreshold,sdThreshold,squaredNoiseContrast,meanSquaredThreshold,sdSquaredThreshold,meanEnergy,sdEnergy,energyAtUnitContrast,noisePowerSpectralDensity,meanNeq,sdNeq,meanEfficiency,sdEfficiency
0.5,0,0,0,hard,1,white,0.05094375,letter,0.0154167813966183,0,0,0.000237677148631116,0,3.37888693429427e-05,0,0.142162885820313,6.6438801e-05,0,0,0,0
0.5,0.16,0.1018875,0,hard,1,white,0.05094375,letter,0.0279717044509553,0,0.0256,0.00078241624989159,0,0.000111230551997295,0,0.142162885820313,6.6438801e-05,2.898816101802e-05,0,1.68756782996609,0
0.5,0.16,0.15283125,0,hard,1,white,0.05094375,letter,0.042714899407286,0,0.0256,0.00182456263137456,0,0.000259385089036111,0,0.142162885820313,6.6438801e-05,9.95092900645247e-06,0,1.48802382944431,0
0.5,0.16,0.25471875,0,hard,1,white,0.05094375,letter,0.212923561087678,0,0.0256,0.0453364428662582,0,0.00644515955069499,0,0.142162885820313,6.6438801e-05,3.50142282807046e-07,0,0.128404675052362,0
0.5,0.16,0.45849375,0,hard,1,white,0.05094375,letter,0.210443371470049,0,0.0256,0.0442864125956811,0,0.00629588421723106,0,0.142162885820313,6.6438801e-05,3.58488946842347e-07,0,0.129901837235166,0
0.5,0.16,0.76415625,0,hard,1,white,0.05094375,letter,0.251902190084671,0,0.0256,0.0634547133694536,0,0.00902090517150229,0,0.142162885820313,6.6438801e-05,2.49790020604428e-07,0,0.0908245285828855,0
0.5,0.16,7.99816875,0,hard,1,white,0.05094375,letter,0.232495220938576,0,0.0256,0.0540540277592773,0,0.00768447657647014,0,0.142162885820313,6.6438801e-05,2.93423552525806e-07,0,0.120076249137951,0
1,0,0,0,hard,1,white,0.05094375,letter,0.00577152253400783,0,0,3.33104723605601e-05,0,1.88556019900889e-05,0,0.566056277617188,6.6438801e-05,0,0,0,0
1,0,0,8,hard,1,white,0.05094375,letter,0.0303776217049085,0,0,0.000922799900446529,0,0.000522356676632274,0,0.566056277617188,0,0,0,0,0
1,0,0,16,hard,1,white,0.05094375,letter,0.0772218724195834,0,0,0.00596321757998642,0,0.00337551674594849,0,0.566056277617188,0,0,0,0,0
1,0.16,0.15283125,0,hard,1,white,0.05094375,letter,0.0151410720825779,0,0.0256,0.000229252063809819,0,0.000129769569876244,0,0.566056277617188,6.6438801e-05,1.12947324149522e-05,0,0.550359542251821,0
1,0.16,0.3056625,0,hard,1,white,0.05094375,letter,0.0223873735298677,0,0.0256,0.000501194493565821,0,0.0002837042893901,0,0.566056277617188,6.6438801e-05,4.73003510288367e-06,0,1.24142731443406,0
1,0.16,0.5094375,0,hard,1,white,0.05094375,letter,0.0822804220276465,0,0.0256,0.00677006784904761,0,0.00383223940584769,0,0.566056277617188,6.6438801e-05,3.28512327316083e-07,0,0.250487961217663,0
1,0.16,0.86604375,0,hard,1,white,0.05094375,letter,0.113821180312451,0,0.0256,0.0129552610877196,0,0.00733340686687335,0,0.566056277617188,6.6438801e-05,1.71267319482614e-07,0,0.096845877927164,0
1,0.16,1.47736875,0,hard,1,white,0.05094375,letter,0.0802537123871564,0,0.0256,0.00644065835192042,0,0.00364577509209213,0,0.566056277617188,6.6438801e-05,3.45401543037691e-07,0,0.24449214526718,0
1,0.16,15.9963375,0,hard,1,white,0.05094375,letter,0.101523924275363,0,0.0256,0.0103071072002697,0,0.00583440273478599,0,0.566056277617188,6.6438801e-05,2.15412851060919e-07,0,0.171315513151264,0
1,0.16,0.3056625,8,hard,1,white,0.05094375,letter,0.0630360038898595,0,0.0256,0.00397353778640239,0,0.00224924600834217,0,0.566056277617188,6.6438801e-05,2.00966852087908e-05,0,0.199371086589722,0
1,0.16,0.56038125,8,hard,1,white,0.05094375,letter,0.111106761189271,0,0.0256,0.0123447123819697,0,0.00698780193919256,0,0.566056277617188,6.6438801e-05,5.36772795692188e-06,0,0.132343063000912,0
1,0.16,1.018875,8,hard,1,white,0.05094375,letter,0.15907819084764,0,0.0256,0.0253058708033582,0,0.0143245470288104,0,0.566056277617188,6.6438801e-05,2.51443795544497e-06,0,0.0683134115019844,0
1,0.16,1.7320875,8,hard,1,white,0.05094375,letter,0.152222143874811,0,0.0256,0.0231715810858437,0,0.0131164189359575,0,0.566056277617188,6.6438801e-05,2.75564393562497e-06,0,0.0681966620741906,0
1,0.16,3.00568125,8,hard,1,white,0.05094375,letter,0.134311703988033,0,0.0256,0.018039633828169,0,0.0102114479743504,0,0.566056277617188,6.6438801e-05,3.58183757624063e-06,0,0.0905792035488371,0
1,0.16,Inf,8,soft,1,white,0.05094375,letter,0.140951870919291,0,0.0256,0.0198674299156485,0,0.0112460834238724,0,0.566056277617188,6.6438801e-05,3.23625844893192e-06,0,0.101166442378148,0
1,0.16,0.3056625,16,hard,1,white,0.05094375,letter,0.101499419327574,0,0.0256,0.0103021321238348,0,0.00583158656153838,0,0.566056277617188,6.6438801e-05,9.13106312909821e-05,0,0.107559041636129,0
1,0.16,0.56038125,16,hard,1,white,0.05094375,letter,0.132194060069317,0,0.0256,0.0174752695176102,0,0.00989198601349554,0,0.566056277617188,6.6438801e-05,3.4415152768864e-05,0,0.122537390910924,0
1,0.16,1.018875,16,hard,1,white,0.05094375,letter,0.197858061877325,0,0.0256,0.0391478126498513,0,0.0221598651054299,0,0.566056277617188,6.6438801e-05,1.19389441179652e-05,0,0.048581616455198,0
1,0.16,1.7320875,16,hard,1,white,0.05094375,letter,0.24230406752843,0,0.0256,0.0587112611408217,0,0.0332338779355842,0,0.566056277617188,6.6438801e-05,7.51097101183453e-06,0,0.0269194503397137,0
1,0.16,3.00568125,16,hard,1,white,0.05094375,letter,0.171844953796109,0,0.0256,0.0295306881451868,0,0.0167160314069385,0,0.566056277617188,6.6438801e-05,1.68108420893259e-05,0,0.0748423076659523,0
1,0.16,Inf,16,soft,1,white,0.05094375,letter,0.190134805793953,0,0.0256,0.0361512443743042,0,0.0204636388217479,0,0.566056277617188,6.6438801e-05,1.31240451327211e-05,0,0.0577981216072317,0
2,0,0,0,hard,1,white,0.05094375,letter,0.00489585538210355,0,0,2.39693999224723e-05,0,5.44172667620791e-05,0,2.27028073035156,6.6438801e-05,0,0,0,0
2,0,0,8,hard,1,white,0.1018875,letter,0.0235585522186191,0,0,0.000555005382637403,0,0.00125665712381292,0,2.26422511046875,0,0,0,0,0
2,0,0,16,hard,1,white,0.1018875,letter,0.0421461758248512,0,0,0.00177630013665927,0,0.00402194337315299,0,2.26422511046875,0,0,0,0,0
2,0,0,32,hard,1,white,0.1018875,letter,0.0823397019360216,0.0054362490422929,0,0.0067946029167378,0.000895238251584761,0.0153845105397419,0.00202702092909036,2.26422511046875,0,0,0,0,0
2,0.16,0.3056625,0,hard,1,white,0.05094375,letter,0.00618627280499555,0,0.0256,3.82699712178276e-05,0,8.68835782069429e-05,0,2.27028073035156,6.6438801e-05,0.000111359061022673,0,2.12368075610145,0
2,0.16,0.56038125,0,hard,1,white,0.05094375,letter,0.0165627699790193,0,0.0256,0.000274325349377904,0,0.000622795554539615,0,2.27028073035156,6.6438801e-05,6.36093607922048e-06,0,0.461066013356342,0
2,0.16,1.018875,0,hard,1,white,0.05094375,letter,0.053498342956297,0,0.0256,0.00286207269906957,0,0.00649770849756294,0,2.27028073035156,6.6438801e-05,5.61113540869752e-07,0,0.131713968996349,0
2,0.16,1.7320875,0,hard,1,white,0.05094375,letter,0.0560083937754857,0,0.0256,0.00313694017330987,0,0.00712173482773109,0,2.27028073035156,6.6438801e-05,5.1156862928259e-07,0,0.130651042277872,0
2,0.16,3.00568125,0,hard,1,white,0.05094375,letter,0.0586291583325707,0,0.0256,0.00343737820678564,0,0.00780381350579586,0,2.27028073035156,6.6438801e-05,4.66541888664667e-07,0,0.110824680505461,0
2,0.16,Inf,0,soft,1,white,0.05094375,letter,0.05344627316753,0,0.0256,0.00285650411549823,0,0.00648506624958558,0,2.27028073035156,6.6438801e-05,5.62216654497331e-07,0,0.135584912285479,0
