observer,trials,letter_size,noise_contrast,noise_decay_radius,eccentricity,p_accuracy,threshold_log_contrast,threshold_contrast_SD,contrast,log_E_by_N,efficiency,file_name
shivam,100,2.030625,0.1,2,32,0.59,-0.668597177466573,0.020587487111698,-0.21448791252806,5.57310872121076,NaN,SV_TestNoiseDiscrimination-NoiseDiscrimination-shivam.2015.9.25.14.0.5.mat
shivam,100,2.030625,0.35,0.5,32,0.77,-1.3382656570573,0.0183929443144992,-0.0458917208232563,-0.0163545324871651,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.10.4.17.27.14.mat
shivam,0,2.030625,0.1,2,0,NaN,-0.5,1.29979290214012,-0.316227766016838,6.34952741632156,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.25.12.26.17.mat
shivam,0,2.030625,0.1,2,32,NaN,-0.5,1.29979290214012,-0.316227766016838,6.34952741632156,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.25.12.31.55.mat
shivam,100,2.030625,0.1,2,32,0.69,-0.221099316426644,0.019111491844478,-0.601036274072069,7.63391252916528,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.25.13.31.13.mat
shivam,100,2.030625,0.1,0.5,0,0.73,-1.54294567238665,0.0182222631776981,-0.0286453628366084,1.5921337704865,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.25.14.25.42.mat
shivam,100,2.030625,0.35,8,0,0.14,0.601999828349393,0.677268948030261,-3.99944591686915,8.91889823380945,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.25.14.31.1.mat
shivam,100,2.030625,0.1,0.5,0,0.79,-1.30211374512008,0.0197304179072897,-0.0498753842821689,2.76411960717914,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.25.14.36.36.mat
shivam,100,2.030625,0.35,0.5,0,0.6,-1.69933941724614,0.0233223686834945,-0.0199829951400316,-1.67916064785144,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.25.14.41.4.mat
shivam,100,2.030625,0.35,Inf,0,0.12,0.684412818848151,0.653061288381248,-4.83518192140234,9.29842408059245,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.25.14.46.7.mat
shivam,100,2.030625,0.1,2,2,0.68,-0.865193345405419,0.018753699127485,-0.136397576723387,4.66774990993927,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.14.38.3.mat
shivam,100,2.030625,0.1,0.5,8,0.81,-1.372329164436,0.0183888914169066,-0.0424297854344335,2.33230315589297,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.14.44.8.mat
shivam,100,2.030625,0.1,Inf,8,0.79,-0.787114033955039,0.0227990535210076,-0.163262320902314,5.02731842717304,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.14.48.30.mat
shivam,100,2.030625,0.1,8,2,0.7,-0.814126562366385,0.0186286875455867,-0.15341698289276,4.90292113668496,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.14.52.50.mat
shivam,100,2.030625,0.1,8,8,0.82,-0.772186323303781,0.0189467005115823,-0.168971584533137,5.09606307520928,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.15.0.11.mat
shivam,100,2.030625,0.1,2,8,0.74,-0.792951851437426,0.0183890582386865,-0.161082421117771,5.06618566171469,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.15.13.26.mat
shivam,100,2.030625,0.1,Inf,0,0.72,-0.80978408504304,0.0185044110938305,-0.154958682399235,4.92291898378775,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.15.17.32.mat
shivam,100,2.030625,0.1,0.5,32,0.77,-0.949903736913823,0.0180997533336694,-0.112226718168592,4.27764414052139,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.15.21.27.mat
shivam,100,2.030625,0.1,Inf,2,0.8,-0.835921132554737,0.0186694687380776,-0.145907920354771,4.80255343183713,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.15.4.50.mat
shivam,100,2.030625,0.1,2,2,0.84,-0.909743603406523,0.0209493836999113,-0.123099530514875,4.46258839001451,NaN,studyEffectsOfNoise-NoiseDiscrimination-shivam.2015.9.27.15.9.17.mat
